arm,config,n_samples,checkpoint,baseline,gc_action_loss_mean,gc_action_loss_se,gc_action_loss_delta_vs_img096,gc_action_loss_delta_se,gc_action_waypts_cos_sim_mean,gc_action_waypts_cos_sim_se,gc_action_waypts_cos_sim_delta_vs_img096,gc_action_waypts_cos_sim_delta_se,uc_action_loss_mean,uc_action_loss_se,uc_action_loss_delta_vs_img096,uc_action_loss_delta_se,uc_action_waypts_cos_sim_mean,uc_action_waypts_cos_sim_se,uc_action_waypts_cos_sim_delta_vs_img096,uc_action_waypts_cos_sim_delta_se,gc_dist_loss_mean,gc_dist_loss_se,gc_dist_loss_delta_vs_img096,gc_dist_loss_delta_se
img096,"context_size=3, index_context_size=20, image_size=96x96, eff_batch=256 (32x8), epochs=30, lr=1e-4, seed=0",26648,ema_29.pth,img096,3.80219,0.03112,,,0.92881,0.00086,,,4.17444,0.03231,,,0.92256,0.00088,,,19.02107,0.15673,,
img112,"context_size=3, index_context_size=20, image_size=112x112, eff_batch=256 (32x8), epochs=30, lr=1e-4, seed=0",26648,ema_29.pth,img096,3.75101,0.03119,-0.05117,0.02127,0.92852,0.00088,-0.00029,0.00058,4.11393,0.03258,-0.06052,0.02244,0.92289,0.00089,0.00034,0.00058,18.49414,0.15447,-0.52693,0.06813
img128x96,"context_size=3, index_context_size=20, image_size=128x96, eff_batch=256 (32x8), epochs=30, lr=1e-4, seed=0",26648,ema_29.pth,img096,3.65224,0.03048,-0.14995,0.01992,0.92941,0.00089,0.00060,0.00056,4.01944,0.03221,-0.15501,0.02164,0.92329,0.00091,0.00073,0.00057,18.73432,0.15448,-0.28675,0.06628
img160x120,"context_size=3, index_context_size=20, image_size=160x120, eff_batch=256 (32x8), epochs=30, lr=1e-4, seed=0",26648,ema_29.pth,img096,3.51983,0.03065,-0.28236,0.02067,0.93193,0.00088,0.00312,0.00058,3.86824,0.03216,-0.30621,0.02231,0.92627,0.00089,0.00371,0.00059,18.55347,0.15670,-0.46760,0.07145
